dth_max_T,dth_max_phase_T,dth_min_T,dth_min_phase_T,dth_min_phase_T,dth_average_T,dth_average_after_min
0.101129363,0.002617801,0.442857143,0.403846154,0.250692521,0.306927138,0.294261639
0.932238193,0.028795812,0.663265306,0.211538462,0.998614958,0.595683557,0.267763958
0.146303901,0.028795812,0.679591837,0.980769231,0.084487535,0.757604051,0.815413782
0.117556468,0.002617801,0.442857143,0.980769231,0.250692521,0.221998779,0.368281964
0.878336756,0.028795812,0.408163265,0.211538462,0.998614958,0.424821345,0.146209749
0.111396304,0.028795812,0.4,0.980769231,0.084487535,0.614069738,0.766926148
0.103182752,0.002617801,0.540816327,0.403846154,0.001385042,0.404675549,0.36200245
0.944558522,0.028795812,0.646938776,0.211538462,0.915512465,0.604050706,0.273317439
0.136036961,0.081151832,0.432653061,0.980769231,0.084487535,0.626243401,0.733375463
0.082135524,0.002617801,0.342857143,0.980769231,0.333795014,0.182999964,0.340303909
0.878336756,0.028795812,0.687755102,0.788461538,0.832409972,0.557115668,0.358165327
0.138090349,0.054973822,0.424489796,0.019230769,0.084487535,0.60225518,0.480906558
0.101129363,0.002617801,0.391836735,0.403846154,0.167590028,0.277049592,0.251199265
0.909137577,0.028795812,0.483673469,0.211538462,0.832409972,0.504291306,0.213761143
0.133983573,0.081151832,0.524489796,0.980769231,0.084487535,0.652350343,0.791859363
0.107289528,0.002617801,0.442857143,0.403846154,0.167590028,0.294178906,0.270882067
0.900924025,0.028795812,0.432653061,0.211538462,0.749307479,0.501562107,0.21759113
0.133983573,0.028795812,0.475510204,0.019230769,0.084487535,0.645168241,0.50361072
0.10523614,0.002617801,0.424489796,0.403846154,0.250692521,0.293999354,0.269832983
0.9137577,0.028795812,0.451020408,0.211538462,0.832409972,0.49050167,0.195233581
0.127823409,0.081151832,0.475510204,0.980769231,0.084487535,0.647646066,0.774279723
0.109342916,0.002617801,0.408163265,0.403846154,0.250692521,0.254892807,0.243855681
0.900924025,0.028795812,0.459183673,0.211538462,0.915512465,0.500017955,0.216920882
0.14835729,0.081151832,0.614285714,0.019230769,0.084487535,0.715983768,0.548559446
0.103182752,0.002617801,0.475510204,0.403846154,0.250692521,0.277803713,0.259392106
0.888603696,0.028795812,0.5,0.211538462,0.915512465,0.487449276,0.19700495
0.11550308,0.028795812,0.383673469,0.980769231,0.084487535,0.56925342,0.717059719
0.082135524,0.002617801,0.326530612,0.403846154,0.084487535,0.255754659,0.255295685
0.911190965,0.028795812,0.483673469,0.211538462,0.749307479,0.528566812,0.227884219
0.131930185,0.054973822,0.375510204,0.980769231,0.084487535,0.588142349,0.737741648
0.067761807,0.002617801,0.565306122,0.403846154,0.084487535,0.371889252,0.320888374
0.919917864,0.028795812,0.630612245,0.211538462,0.915512465,0.513484397,0.176418771
0.092402464,0.054973822,0.244897959,0.980769231,0.167590028,0.461809172,0.671559475
0.073921971,0.002617801,0.442857143,0.403846154,0.250692521,0.274033109,0.281672639
0.924024641,0.028795812,0.795918367,0.211538462,0.998614958,0.633712788,0.298547477
0.154517454,0.054973822,0.391836735,0.980769231,0.084487535,0.598771861,0.739177893
0.084188912,0.002617801,0.342857143,0.403846154,0.167590028,0.217186771,0.221125542
0.888603696,0.028795812,0.383673469,0.211538462,0.749307479,0.461162782,0.170242917
0.121663244,0.028795812,0.310204082,0.980769231,0.084487535,0.542966926,0.722345101
0.097022587,0.002617801,0.540816327,0.403846154,0.250692521,0.338995224,0.310897104
0.919917864,0.028795812,0.614285714,0.211538462,0.915512465,0.577117822,0.273556813
0.160677618,0.081151832,0.5,0.980769231,0.084487535,0.651057565,0.771407233
0.094969199,0.002617801,0.391836735,0.403846154,0.167590028,0.239523108,0.226670696
0.890657084,0.028795812,0.391836735,0.211538462,0.915512465,0.460695946,0.173259032
0.129876797,0.054973822,0.451020408,0.980769231,0.084487535,0.612920602,0.735960704
0.075975359,0.002617801,0.318367347,0.980769231,0.167590028,0.204546271,0.356562204
0.902977413,0.028795812,0.467346939,0.211538462,0.915512465,0.501490286,0.215484637
0.14835729,0.028795812,0.516326531,0.980769231,0.084487535,0.70553381,0.815815931
0.113449692,0.002617801,0.442857143,0.980769231,0.250692521,0.287355909,0.425616867
0.921971253,0.028795812,0.573469388,0.211538462,0.832409972,0.531619205,0.224532981
0.119609856,0.028795812,0.359183673,0.980769231,0.084487535,0.549933566,0.696550139
0.051334702,0.002617801,0.293877551,0.403846154,0.084487535,0.225158904,0.228569038
0.900924025,0.028795812,0.483673469,0.211538462,0.832409972,0.504506769,0.212420647
0.156570842,0.081151832,0.548979592,0.980769231,0.084487535,0.703666463,0.807830408
0.107289528,0.002617801,0.432653061,0.403846154,0.001385042,0.340036629,0.291863734
0.924024641,0.028795812,0.524489796,0.211538462,0.832409972,0.541889611,0.24224667
0.146303901,0.081151832,0.630612245,0.980769231,0.084487535,0.743670772,0.799557637
0.103182752,0.002617801,0.375510204,0.980769231,0.250692521,0.195281359,0.33432913
0.872176591,0.028795812,0.442857143,0.211538462,0.915512465,0.438108234,0.142284013
0.117556468,0.028795812,0.451020408,0.980769231,0.084487535,0.618271268,0.782265246
0.119609856,0.002617801,0.614285714,0.403846154,0.250692521,0.377455381,0.355907776
0.944558522,0.028795812,0.581632653,0.211538462,0.915512465,0.546917083,0.234969695
0.136036961,0.081151832,0.483673469,0.980769231,0.167590028,0.618091715,0.739177893
0.082135524,0.002617801,0.351020408,0.403846154,0.167590028,0.227169893,0.223773228
0.896817248,0.028795812,0.524489796,0.211538462,0.915512465,0.504111754,0.229464089
0.136036961,0.028795812,0.475510204,0.980769231,0.084487535,0.649800697,0.793353058
0.119609856,0.002617801,0.524489796,0.403846154,0.250692521,0.327683413,0.30245448
0.924024641,0.028795812,0.524489796,0.211538462,0.998614958,0.521025604,0.213856893
0.133983573,0.028795812,0.375510204,0.980769231,0.084487535,0.591302474,0.735213857
0.073921971,0.002617801,0.26122449,0.403846154,0.084487535,0.22558983,0.213282395
0.896817248,0.028795812,0.516326531,0.211538462,0.832409972,0.537293066,0.237554936
0.14835729,0.054973822,0.532653061,0.980769231,0.167590028,0.679678242,0.798351191
0.099075975,0.002617801,0.424489796,0.403846154,0.250692521,0.247926168,0.242007296
0.892710472,0.028795812,0.467346939,0.211538462,0.832409972,0.496786009,0.21007478
0.156570842,0.081151832,0.630612245,0.980769231,0.084487535,0.706575215,0.789503921
0.099075975,0.002617801,0.391836735,0.980769231,0.250692521,0.227349445,0.370982104
0.888603696,0.028795812,0.483673469,0.211538462,0.915512465,0.466980285,0.16492881
0.119609856,0.081151832,0.342857143,0.980769231,0.084487535,0.561784034,0.71085514
0.075975359,0.002617801,0.367346939,0.403846154,0.250692521,0.237117104,0.258293066
0.909137577,0.028795812,0.606122449,0.211538462,0.832409972,0.582468489,0.284328651
0.164784394,0.081151832,0.532653061,0.980769231,0.167590028,0.662369376,0.780599201
0.099075975,0.002617801,0.524489796,0.403846154,0.250692521,0.286781341,0.284070543
0.911190965,0.028795812,0.4,0.211538462,0.832409972,0.455919848,0.169955668
0.117556468,0.028795812,0.326530612,0.980769231,0.167590028,0.520917873,0.705569758
0.075975359,0.002617801,0.524489796,0.403846154,0.084487535,0.356016806,0.349113712
0.934291581,0.028795812,0.614285714,0.211538462,0.915512465,0.570438467,0.232671703
0.127823409,0.028795812,0.342857143,0.980769231,0.084487535,0.568068374,0.729239077
0.075975359,0.002617801,0.351020408,0.403846154,0.084487535,0.245699716,0.223973054
0.888603696,0.028795812,0.508163265,0.211538462,0.915512465,0.486336051,0.208830035
0.129876797,0.028795812,0.467346939,0.980769231,0.084487535,0.619635867,0.777899061
0.11550308,0.002617801,0.475510204,0.980769231,0.333795014,0.272129852,0.411484216
0.919917864,0.028795812,0.597959184,0.211538462,0.915512465,0.541602327,0.215484637
0.138090349,0.054973822,0.408163265,0.980769231,0.084487535,0.606528531,0.735730905
0.078028747,0.002617801,0.467346939,0.980769231,0.250692521,0.275289977,0.417286646
0.921971253,0.028795812,0.491836735,0.211538462,0.998614958,0.514166697,0.21610701
0.129876797,0.028795812,0.27755102,0.980769231,0.084487535,0.535605272,0.715451125
0.092402464,0.002617801,0.467346939,0.403846154,0.250692521,0.272345315,0.290415
0.932238193,0.028795812,0.508163265,0.211538462,0.832409972,0.542607821,0.242055171
0.167351129,0.081151832,0.557142857,0.980769231,0.084487535,0.695407046,0.785884583
0.10523614,0.002617801,0.342857143,0.403846154,0.084487535,0.245663806,0.237860919
0.89476386,0.028795812,0.483673469,0.211538462,0.915512465,0.482529536,0.198010322
0.129876797,0.081151832,0.424489796,0.019230769,0.084487535,0.626997522,0.493361675
0.099075975,0.002617801,0.416326531,0.403846154,0.084487535,0.328114339,0.293462337
0.921971253,0.028795812,0.565306122,0.211538462,0.832409972,0.552914138,0.255795249
0.140143737,0.081151832,0.442857143,0.980769231,0.084487535,0.621431393,0.744980323
0.0862423,0.002617801,0.383673469,0.403846154,0.250692521,0.230042734,0.2408583
0.900924025,0.028795812,0.573469388,0.211538462,0.915512465,0.5298955,0.249619395
0.14835729,0.028795812,0.565306122,0.980769231,0.084487535,0.69152871,0.832935972
0.138090349,0.002617801,0.516326531,0.403846154,0.167590028,0.351240708,0.30834933
0.909137577,0.028795812,0.442857143,0.211538462,0.832409972,0.470391784,0.174025029
0.123716632,0.081151832,0.516326531,0.019230769,0.084487535,0.636908823,0.507149628
0.117556468,0.002617801,0.491836735,0.403846154,0.250692521,0.273925378,0.283321198
0.911190965,0.028795812,0.516326531,0.211538462,0.998614958,0.512155708,0.213378144
0.146303901,0.054973822,0.540816327,0.980769231,0.084487535,0.715732395,0.811507196
0.10523614,0.002617801,0.557142857,0.403846154,0.250692521,0.317125723,0.298707754
0.902977413,0.028795812,0.614285714,0.211538462,0.998614958,0.52282113,0.215341012
0.119609856,0.054973822,0.293877551,0.019230769,0.084487535,0.522354293,0.411001637
0.084188912,0.002617801,0.491836735,0.980769231,0.250692521,0.264409093,0.435498233
0.930184805,0.028795812,0.589795918,0.211538462,0.998614958,0.58254031,0.267524584
0.171457906,0.081151832,0.573469388,0.980769231,0.084487535,0.694006536,0.79272111
0.097022587,0.002617801,0.459183673,0.980769231,0.250692521,0.257622006,0.403039095
0.896817248,0.028795812,0.451020408,0.211538462,0.915512465,0.478902575,0.187142734
0.123716632,0.081151832,0.573469388,0.980769231,0.084487535,0.705031063,0.807658059
0.11550308,0.002617801,0.491836735,0.403846154,0.333795014,0.27335081,0.272730452
0.905030801,0.028795812,0.383673469,0.211538462,0.749307479,0.468775811,0.182115876
0.138090349,0.081151832,0.573469388,0.980769231,0.084487535,0.683197472,0.791399764
0.103182752,0.002617801,0.432653061,0.403846154,0.250692521,0.267281933,0.255245729
0.898870637,0.028795812,0.391836735,0.211538462,0.832409972,0.454303875,0.171679162
0.113449692,0.028795812,0.334693878,0.019230769,0.084487535,0.549071713,0.449240226
0.090349076,0.002617801,0.573469388,0.403846154,0.250692521,0.342981291,0.344267946
0.944558522,0.028795812,0.663265306,0.211538462,0.832409972,0.618917657,0.291605626
0.14835729,0.081151832,0.532653061,0.980769231,0.167590028,0.648543829,0.751184902
0.075975359,0.002617801,0.302040816,0.403846154,0.250692521,0.162279599,0.179112251
0.868069815,0.028795812,0.391836735,0.211538462,0.832409972,0.438251876,0.173306906
0.129876797,0.028795812,0.375510204,0.980769231,0.084487535,0.580960247,0.750035906
0.103182752,0.002617801,0.589795918,0.403846154,0.250692521,0.325313319,0.329131172
0.94661191,0.028795812,0.704081633,0.211538462,0.915512465,0.623370561,0.306542575
0.146303901,0.028795812,0.416326531,0.019230769,0.084487535,0.582827594,0.475253497
0.084188912,0.002617801,0.383673469,0.403846154,0.167590028,0.240205408,0.231316637
0.888603696,0.028795812,0.459183673,0.211538462,0.832409972,0.469565842,0.195664455
0.125770021,0.081151832,0.467346939,0.019230769,0.084487535,0.609149998,0.482698992
0.097022587,0.002617801,0.589795918,0.403846154,0.250692521,0.31062592,0.323935711
0.930184805,0.028795812,0.548979592,0.211538462,0.915512465,0.53337882,0.223623359
0.129876797,0.028795812,0.342857143,0.019230769,0.084487535,0.556828384,0.447172033
0.067761807,0.002617801,0.375510204,0.403846154,0.250692521,0.262685388,0.243356118
0.911190965,0.028795812,0.483673469,0.211538462,0.832409972,0.527381765,0.238033685
0.133983573,0.028795812,0.424489796,0.980769231,0.084487535,0.589866054,0.742912131
0.084188912,0.002617801,0.4,0.403846154,0.001385042,0.294286638,0.263188789
0.911190965,0.028795812,0.424489796,0.211538462,0.832409972,0.481775416,0.185945863
0.136036961,0.081151832,0.565306122,0.019230769,0.084487535,0.672962976,0.525073967
0.101129363,0.002617801,0.351020408,0.403846154,0.084487535,0.287248178,0.255745293
0.898870637,0.028795812,0.712244898,0.211538462,0.998614958,0.575609581,0.254550503
0.160677618,0.081151832,0.467346939,0.019230769,0.084487535,0.643193163,0.474839859
0.075975359,0.002617801,0.375510204,0.403846154,0.250692521,0.202571193,0.221325367
0.890657084,0.028795812,0.524489796,0.211538462,0.998614958,0.501562107,0.211702525
0.146303901,0.028795812,0.532653061,0.980769231,0.084487535,0.67109563,0.831384828
0.127823409,0.002617801,0.432653061,0.980769231,0.250692521,0.294861206,0.417229196
0.919917864,0.028795812,0.516326531,0.211538462,0.832409972,0.523359787,0.201983933
0.127823409,0.028795812,0.516326531,0.980769231,0.084487535,0.655438647,0.781173699
0.103182752,0.002617801,0.442857143,0.403846154,0.333795014,0.264768198,0.252897781
0.892710472,0.028795812,0.432653061,0.211538462,0.832409972,0.484360972,0.198632695
0.127823409,0.081151832,0.483673469,0.980769231,0.084487535,0.647502424,0.791916813
0.10523614,0.002617801,0.475510204,0.403846154,0.084487535,0.348619241,0.307999635
0.921971253,0.028795812,0.532653061,0.211538462,0.915512465,0.495960068,0.169668419
0.107289528,0.028795812,0.375510204,0.019230769,0.084487535,0.573167666,0.442576049
0.078028747,0.002617801,0.334693878,0.403846154,0.250692521,0.210399684,0.222724145
0.890657084,0.028795812,0.62244898,0.211538462,0.998614958,0.547563472,0.248901273
0.15862423,0.028795812,0.383673469,0.980769231,0.167590028,0.590476532,0.743716428
0.090349076,0.002617801,0.432653061,0.403846154,0.250692521,0.279527418,0.273979361
0.924024641,0.028795812,0.516326531,0.211538462,0.915512465,0.522497935,0.214144142
0.144250513,0.081151832,0.5,0.980769231,0.084487535,0.644773225,0.759572573
0.094969199,0.002617801,0.508163265,0.403846154,0.250692521,0.311882788,0.287217793
0.907084189,0.028795812,0.483673469,0.211538462,0.998614958,0.489208891,0.184701117
0.117556468,0.028795812,0.351020408,0.980769231,0.084487535,0.553919632,0.692873352
0.080082136,0.002617801,0.342857143,0.403846154,0.250692521,0.217258592,0.239559435
0.905030801,0.028795812,0.565306122,0.211538462,0.998614958,0.516572701,0.207824663
0.125770021,0.028795812,0.475510204,0.019230769,0.084487535,0.633281862,0.499750093
0.099075975,0.002617801,0.5,0.403846154,0.250692521,0.320680863,0.289765567
0.909137577,0.028795812,0.573469388,0.211538462,0.832409972,0.537472618,0.230421586
0.136036961,0.081151832,0.432653061,0.980769231,0.084487535,0.616152548,0.727458133
0.082135524,0.002617801,0.459183673,0.403846154,0.250692521,0.250439904,0.266385995
0.911190965,0.028795812,0.459183673,0.211538462,0.915512465,0.474808777,0.184844742
0.117556468,0.028795812,0.432653061,0.019230769,0.084487535,0.610586419,0.495200069
0.11550308,0.002617801,0.597959184,0.403846154,0.250692521,0.365676734,0.352860438
0.94661191,0.028795812,0.62244898,0.211538462,0.998614958,0.559844867,0.219745497
0.11550308,0.028795812,0.26122449,0.980769231,0.084487535,0.519194168,0.708786947
0.080082136,0.002617801,0.375510204,0.980769231,0.250692521,0.215319424,0.374429093
0.900924025,0.028795812,0.451020408,0.211538462,0.832409972,0.48910116,0.209787531
0.150410678,0.081151832,0.597959184,0.980769231,0.084487535,0.757711782,0.843564186
0.129876797,0.002617801,0.483673469,0.980769231,0.250692521,0.273494452,0.407807428
0.896817248,0.028795812,0.383673469,0.211538462,0.998614958,0.435486767,0.148316242
0.10523614,0.081151832,0.4,0.980769231,0.084487535,0.603009301,0.7518743
0.092402464,0.002617801,0.416326531,0.403846154,0.250692521,0.283369842,0.289515786
0.940451745,0.028795812,0.573469388,0.211538462,0.998614958,0.552160017,0.238608183
0.154517454,0.081151832,0.432653061,0.980769231,0.084487535,0.630947678,0.744405825
0.080082136,0.002617801,0.467346939,0.403846154,0.167590028,0.299170467,0.286118754
0.905030801,0.028795812,0.475510204,0.211538462,0.915512465,0.487485187,0.181972252
0.119609856,0.054973822,0.342857143,0.019230769,0.167590028,0.536072108,0.420101686
0.082135524,0.002617801,0.475510204,0.403846154,0.250692521,0.277085503,0.296759456
0.938398357,0.028795812,0.614285714,0.211538462,0.998614958,0.567493805,0.250337518
0.162731006,0.081151832,0.516326531,0.019230769,0.084487535,0.662405286,0.501956166
0.082135524,0.002617801,0.475510204,0.403846154,0.250692521,0.290408303,0.277076654
0.909137577,0.028795812,0.442857143,0.211538462,0.998614958,0.482457715,0.171296163
0.117556468,0.028795812,0.244897959,0.980769231,0.167590028,0.499838403,0.708557148
0.092402464,0.002617801,0.451020408,0.403846154,0.250692521,0.2839085,0.297308976
0.930184805,0.028795812,0.614285714,0.211538462,0.915512465,0.567601537,0.247465027
0.14835729,0.081151832,0.557142857,0.980769231,0.084487535,0.698710813,0.811794445
0.121663244,0.002617801,0.524489796,0.403846154,0.333795014,0.339246597,0.314294135
0.905030801,0.028795812,0.416326531,0.211538462,0.998614958,0.445757173,0.150422735
0.11550308,0.081151832,0.416326531,0.980769231,0.084487535,0.625920207,0.755551087
0.097022587,0.002617801,0.424489796,0.403846154,0.167590028,0.296405358,0.289515786
0.911190965,0.028795812,0.565306122,0.211538462,0.915512465,0.529608216,0.223288235
0.133983573,0.028795812,0.383673469,0.980769231,0.084487535,0.587819155,0.75761928
0.101129363,0.002617801,0.391836735,0.403846154,0.250692521,0.244227385,0.246653237
0.907084189,0.028795812,0.565306122,0.211538462,0.915512465,0.550651776,0.25847624
0.167351129,0.028795812,0.5,0.980769231,0.084487535,0.667791863,0.789101772
0.099075975,0.002617801,0.451020408,0.403846154,0.167590028,0.297698136,0.265686606
0.900924025,0.028795812,0.508163265,0.211538462,0.832409972,0.493661795,0.199302942
0.127823409,0.081151832,0.532653061,0.980769231,0.084487535,0.669228283,0.781748198
0.103182752,0.002617801,0.459183673,0.980769231,0.250692521,0.28178978,0.438370724
0.915811088,0.028795812,0.516326531,0.211538462,0.998614958,0.518045032,0.210026906
0.133983573,0.028795812,0.4,0.980769231,0.084487535,0.578805616,0.71682992
0.082135524,0.002617801,0.383673469,0.403846154,0.084487535,0.28530901,0.271431587
0.9137577,0.028795812,0.524489796,0.211538462,0.915512465,0.535856645,0.227022472
0.142197125,0.081151832,0.581632653,0.980769231,0.084487535,0.684202966,0.793525407
0.111396304,0.002617801,0.383673469,0.403846154,0.167590028,0.261069415,0.24030878
0.882443532,0.028795812,0.442857143,0.211538462,0.998614958,0.465651596,0.171439788
0.119609856,0.028795812,0.367346939,0.980769231,0.084487535,0.565626459,0.753482894
0.092402464,0.002617801,0.475510204,0.980769231,0.250692521,0.286170862,0.433832189
0.915811088,0.028795812,0.679591837,0.211538462,0.915512465,0.612130571,0.310420437
0.164784394,0.081151832,0.483673469,0.019230769,0.084487535,0.641361727,0.501956166
0.107289528,0.002617801,0.342857143,0.403846154,0.001385042,0.289223256,0.245903891
0.902977413,0.028795812,0.4,0.211538462,0.915512465,0.45394477,0.159997702
0.107289528,0.081151832,0.467346939,0.980769231,0.084487535,0.631306783,0.774049924
0.101129363,0.002617801,0.548979592,0.403846154,0.250692521,0.320214027,0.313295008
0.928131417,0.028795812,0.508163265,0.211538462,0.998614958,0.499730671,0.1898716
0.111396304,0.028795812,0.451020408,0.980769231,0.084487535,0.602434733,0.751242352
0.0862423,0.002617801,0.383673469,0.403846154,0.084487535,0.296118074,0.277626174
0.9137577,0.028795812,0.516326531,0.211538462,0.749307479,0.535713003,0.241289174
0.133983573,0.028795812,0.424489796,0.980769231,0.084487535,0.604625274,0.761296068
0.099075975,0.002617801,0.524489796,0.403846154,0.250692521,0.286386325,0.282921547
0.907084189,0.028795812,0.432653061,0.211538462,0.749307479,0.485079183,0.194419709
0.11550308,0.028795812,0.334693878,0.980769231,0.084487535,0.555966531,0.717232068
0.088295688,0.002617801,0.351020408,0.403846154,0.250692521,0.204330808,0.227569911
0.89476386,0.028795812,0.475510204,0.211538462,0.832409972,0.513592128,0.231426957
0.15862423,0.028795812,0.557142857,0.980769231,0.084487535,0.688045391,0.797604343
0.109342916,0.002617801,0.342857143,0.403846154,0.084487535,0.257119259,0.24880136
0.892710472,0.028795812,0.532653061,0.211538462,0.998614958,0.503034438,0.201409435
0.11550308,0.028795812,0.383673469,0.980769231,0.084487535,0.595288541,0.733145664
